MINISTERIO DE DEFENSA NACIONAL,,,,,,,,,,,,,
POLICÍA NACIONAL,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
DIRECCIÓN DE INVESTIGACIÓN CRIMINAL E INTERPOL,,,,,,,,,,,,,
SECUESTRO,,,,,,,,,,,,,
PERÍODO  DEL 01 DE ENERO AL 31 DE DICIEMBRE AÑOS 2010-2016,,,,,,,,,,,,,
DIVIPOLA,DEPARTAMENTO POLÍTICO,MUNICIPIO_HECHO,MES,GENERO,EDAD,CLASE_EMPLEADO,2010,2011,2012,2013,2014,2015,2016
05887,ANTIOQUIA,YARUMAL,abr,FEMENINO,2,ESTUDIANTE,0,0,0,0,0,0,1
05887,ANTIOQUIA,YARUMAL,jul,MASCULINO,62,EMPLEADO PARTICULAR,0,1,0,0,0,0,0
05890,ANTIOQUIA,YOLOMBÓ,mar,MASCULINO,66,AGRICULTOR,0,0,0,0,1,0,0
05890,ANTIOQUIA,YOLOMBÓ,jul,MASCULINO,40,AGRICULTOR,0,1,0,0,0,0,0
05890,ANTIOQUIA,YOLOMBÓ,dic,FEMENINO,7,ESTUDIANTE,0,0,1,0,0,0,0
08001,ATLÁNTICO,BARRANQUILLA (CT),ene,FEMENINO,16,ESTUDIANTE,0,0,1,0,0,0,0
08001,ATLÁNTICO,BARRANQUILLA (CT),mar,FEMENINO,0,NO REPORTA,0,0,1,0,0,0,0
08001,ATLÁNTICO,BARRANQUILLA (CT),mar,MASCULINO,40,EMPLEADO PARTICULAR,0,1,0,0,0,0,0
08001,ATLÁNTICO,BARRANQUILLA (CT),abr,FEMENINO,26,ESTUDIANTE,0,1,0,0,0,0,0
08001,ATLÁNTICO,BARRANQUILLA (CT),jun,MASCULINO,52,COMERCIANTE,0,1,0,0,0,0,0
08001,ATLÁNTICO,BARRANQUILLA (CT),jul,MASCULINO,0,NO REPORTA,0,0,1,0,0,0,0
08001,ATLÁNTICO,BARRANQUILLA (CT),sep,MASCULINO,23,ESTUDIANTE,0,0,0,1,0,0,0
08001,ATLÁNTICO,BARRANQUILLA (CT),nov,MASCULINO,48,EMPLEADO PARTICULAR,0,0,0,0,0,1,0
08001,ATLÁNTICO,BARRANQUILLA (CT),dic,MASCULINO,0,NO REPORTA,0,1,0,0,0,0,0
08078,ATLÁNTICO,BARANOA,nov,FEMENINO,11,ESTUDIANTE,1,0,0,0,0,0,0
08560,ATLÁNTICO,PONEDERA,may,MASCULINO,64,GANADERO,0,0,0,1,0,0,0
08758,ATLÁNTICO,SOLEDAD,oct,MASCULINO,45,COMERCIANTE,0,0,0,1,0,0,0
11001,CUNDINAMARCA,BOGOTÁ D.C. (CT),ene,FEMENINO,24,ESTUDIANTE,0,0,1,0,0,0,0
11001,CUNDINAMARCA,BOGOTÁ D.C. (CT),ene,FEMENINO,26,EMPLEADO SALUD,0,0,1,0,0,0,0
11001,CUNDINAMARCA,BOGOTÁ D.C. (CT),ene,FEMENINO,35,EMPLEADO PARTICULAR,0,0,0,0,1,0,0
11001,CUNDINAMARCA,BOGOTÁ D.C. (CT),ene,FEMENINO,48,COMERCIANTE,0,0,0,0,1,0,0
11001,CUNDINAMARCA,BOGOTÁ D.C. (CT),ene,FEMENINO,-,COMERCIANTE,0,0,3,0,0,0,0
11001,CUNDINAMARCA,BOGOTÁ D.C. (CT),ene,FEMENINO,-,EMPLEADO PARTICULAR,0,0,0,1,0,0,0
11001,CUNDINAMARCA,BOGOTÁ D.C. (CT),ene,MASCULINO,1,INDEPENDIENTE,0,0,0,1,0,0,0
11001,CUNDINAMARCA,BOGOTÁ D.C. (CT),ene,MASCULINO,11,EMPLEADO PARTICULAR,0,0,1,0,0,0,0
